sn,resp_id,agri_inc,off_farm_inc,tot_hh_inc,usd,area_cropped,hh_size,hh_lab,opp_cost_est,site,dist,age,education,PC1,PC2,tlu,teviala1,rice_proj,redd
78,SAH040,772000,0,772000,285,21707,5,5,1498,Sahavazina,6.622,3,0,0.777878406,0.314095771,0.74,3801,3231,"REDD+ project
without safeguard"
79,SAH041,4715750,240000,4955750,1834,25488,3,3,40,Sahavazina,6.649,0.7,0,0.452571002,1.289131002,0.05,-748,3725,"REDD+ project
without safeguard"
80,SAH044,154000,48000,202000,74,6377,10,4,8832,Sahavazina,4.262,1.5,0,-0.950261961,-0.222784643,0,-5184,4549,"REDD+ project
without safeguard"
81,SAH045,147150,230000,377150,139,4899,8,3,124,Sahavazina,4.264,1.8,0,-1.260270825,-0.359259236,0.01,-5302,2421,"REDD+ project
without safeguard"
82,SAH048,243450,10000,253450,93,3164,7,2,880,Sahavazina,4.261,1.5,0,-1.368720004,-0.279357172,0.02,607,3224,"REDD+ project
without safeguard"
83,SAH049,187000,16000,203000,75,3721,5,2,990,Sahavazina,4.242,2.8,0,-0.199974796,0.539012528,0.82,-1930,4636,"REDD+ project
without safeguard"
84,SAH050,457000,60000,517000,191,21534,12,6,372,Sahavazina,4.204,2,0,0.539178326,0.429689398,0.04,2908,4700,"REDD+ project
without safeguard"
85,SAH051,122250,92000,214250,79,7278,6,2,8003,Sahavazina,2.814,0.1,0,-0.400681151,-0.004612116,0,-4159,3993,"REDD+ project
without safeguard"
86,SAH053,807750,0,807750,298,32961,8,6,289,Sahavazina,4.574,2.9,0,0.352543236,0.875549863,2.95,-1401,3488,"REDD+ project
without safeguard"
87,SAH054,240000,0,240000,88,9450,4,2,1958,Sahavazina,4.958,0.3,0,0.227764764,0.289660843,0.04,-2365,4183,"REDD+ project
without safeguard"
88,SAH055,48000,208000,256000,94,7769,1,1,64,Sahavazina,4.164,5,0,-1.054497047,-0.132220693,0.04,1690,2683,"REDD+ project
without safeguard"
89,SAH056,125750,360000,485750,179,8542,3,2,555,Sahavazina,4.252,1,0,-0.657090933,0.395581955,0,2383,4174,"REDD+ project
without safeguard"
90,SAH057,230750,444000,674750,249,7077,7,4,3380,Sahavazina,4.259,2,0,-0.976687316,0.394049165,1.42,-7033,3352,"REDD+ project
without safeguard"
91,SAH059,322875,56000,378875,140,5611,8,2,5812,Sahavazina,4.159,0.9,0,0.029297405,0.093546685,0.04,-1089,4109,"REDD+ project
without safeguard"
92,SAH062,81350,97500,178850,66,8829,5,2,3616,Sahavazina,4.257,0.7,0,-1.514992978,0.057643371,0,-568,3963,"REDD+ project
without safeguard"
93,SAH067,1034000,300000,1334000,493,16143,7,5,190,Sahavazina,4.201,0.8,1,2.623283578,0.778798973,1.59,3810,5859,"REDD+ project
without safeguard"
94,SAH068,624700,0,624700,231,10687,5,2,250,Sahavazina,4.201,2.8,0,-0.678767942,-0.425555612,0.02,-2052,2716,"REDD+ project
without safeguard"
95,SAH072,876550,120000,996550,368,13780,3,1,11015,Sahavazina,4.49,0.4,0,0.03379443,0.117363146,0.05,-4272,2375,"REDD+ project
without safeguard"
96,SAH073,372625,48000,420625,155,12184,2,2,20397,Sahavazina,4.46,0.3,0,-1.045517496,0.219905028,0.93,-5040,3635,"REDD+ project
without safeguard"
97,SAH074,147250,192000,339250,125,3202,4,3,410,Sahavazina,4.482,2.4,0,-0.874555154,0.529076932,0.06,3046,4370,"REDD+ project
without safeguard"
98,SAH075,423500,0,423500,156,5694,5,2,776,Sahavazina,4.5,0.6,0,-1.176154368,-0.110613437,0,626,3272,"REDD+ project
without safeguard"
99,SAH089,339500,0,339500,125,4209,6,1,167,Sahavazina,6.327,1,0,-0.853552133,1.33137166,0.01,3677,4064,"REDD+ project
without safeguard"
100,SAH090,58800,576000,634800,234,2306,4,3,133,Sahavazina,6.34,2,0,-0.560381104,1.949738258,0.01,4425,4576,"REDD+ project
without safeguard"
101,SAH092,681000,160000,841000,311,13445,7,3,90,Sahavazina,6.351,1.5,0,0.664483875,0.392434878,0.15,-1903,2831,"REDD+ project
without safeguard"
102,SAH094,730000,28500,758500,280,18635,10,4,47,Sahavazina,6.367,1.6,0,0.718090133,0.103613821,1.51,-846,3394,"REDD+ project
without safeguard"
